Group,Baseline,Six_months,Participant
1,52,32,1
1,68,48,2
1,85,62,3
1,47,16,4
1,73,63,5
1,57,53,6
1,63,59,7
1,50,58,8
1,66,59,9
1,60,57,10
1,51,60,11
1,72,56,12
1,77,61,13
1,57,52,14
1,79,9,15
1,75,76,16
1,53,38,17
1,72,63,18
1,62,53,19
1,71,61,20
1,53,50,21
1,64,78,22
1,79,33,23
1,75,68,24
1,60,59,25
2,65,62,26
2,57,50,27
2,66,62,28
2,71,61,29
2,75,70,30
2,61,64,31
2,80,64,32
2,66,55,33
2,53,47,34
2,62,61,35
2,61,56,36
2,77,64,37
2,66,62,38
2,52,47,39
2,60,56,40
2,58,78,41
2,54,74,42
2,72,61,43
2,71,61,44
2,87,78,45
2,75,62,46
2,57,71,47
2,59,55,48
2,46,46,49
2,89,79,50
